Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,8.990000,8.990000,8.800000,8.930000,8.712503,8592000
2020-05-05,9.110000,9.140000,8.890000,8.910000,8.692989,5337700
2020-05-06,8.900000,8.940000,8.740000,8.860000,8.644207,5179400
2020-05-07,8.990000,9.050000,8.910000,9.040000,8.819824,7759400
2020-05-08,9.080000,9.180000,8.990000,9.170000,8.946657,8072000
2020-05-11,9.140000,9.140000,8.900000,9.000000,8.780798,6883800
2020-05-12,9.170000,9.390000,9.080000,9.150000,8.927145,14818900
2020-05-13,9.130000,9.140000,8.510000,8.550000,8.341758,25972500
2020-05-14,8.460000,8.690000,8.370000,8.680000,8.468593,14592500
2020-05-15,8.550000,8.720000,8.540000,8.700000,8.488105,6360300
2020-05-18,8.870000,9.030000,8.850000,8.960000,8.741773,9250200
2020-05-19,8.960000,8.980000,8.770000,8.790000,8.575913,12363000
2020-05-20,8.890000,9.040000,8.850000,9.000000,8.780798,10458500
2020-05-21,8.960000,9.020000,8.870000,8.930000,8.712503,11336400
2020-05-22,9.060000,9.070000,8.980000,9.050000,8.829580,5827800
2020-05-26,9.170000,9.200000,8.920000,9.070000,8.849093,8686400
2020-05-27,9.200000,9.390000,9.190000,9.350000,9.122274,10198100
2020-05-28,9.370000,9.410000,9.170000,9.190000,8.966169,12831000
2020-05-29,9.040000,9.140000,8.980000,9.100000,9.002776,7768600
2020-06-01,9.160000,9.290000,9.160000,9.260000,9.161066,3269200
2020-06-02,9.340000,9.410000,9.290000,9.380000,9.279784,6388700
2020-06-03,9.430000,9.460000,9.230000,9.270000,9.170959,13863000
2020-06-04,9.240000,9.390000,9.180000,9.270000,9.170959,15375600
2020-06-05,9.390000,9.550000,9.360000,9.380000,9.279784,8806000
2020-06-08,9.470000,9.590000,9.420000,9.560000,9.457861,11967900
2020-06-09,9.450000,9.450000,9.280000,9.330000,9.230318,8096900
2020-06-10,9.370000,9.390000,9.210000,9.300000,9.200639,12306300
2020-06-11,9.130000,9.150000,8.840000,8.860000,8.765339,10391500
2020-06-12,8.970000,9.130000,8.880000,9.110000,9.012669,6634900
2020-06-15,8.940000,9.240000,8.910000,9.220000,9.121493,7467600
2020-06-16,9.200000,9.320000,9.070000,9.120000,9.022562,15298100
2020-06-17,9.110000,9.360000,9.110000,9.330000,9.230318,15289000
2020-06-18,9.260000,9.350000,9.170000,9.220000,9.121493,8988700
2020-06-19,9.280000,9.370000,9.150000,9.160000,9.062135,8513200
2020-06-22,9.200000,9.260000,9.100000,9.150000,9.052241,7625100
2020-06-23,9.460000,9.570000,9.400000,9.420000,9.319357,8398100
2020-06-24,9.330000,9.380000,9.030000,9.070000,8.973096,13176300
